Data Description:
,YEAR,A_A_A,G01_A_A,G02_A_A,G03_A_A,G04_A_A,G05_A_A,G06_A_A,G07_A_A,G08_A_A,G09_A_A,G10_A_A,G11_A_A,G12_A_A,KG_A_A,PK_A_A,G01-G08_A_A,G09-G12_A_A,G01_AM_F,G01_AM_M,G01_AS_F,G01_AS_M,G01_BL_F,G01_BL_M,G01_HI_F,G01_HI_M,G01_HP_F,G01_HP_M,G01_TR_F,G01_TR_M,G01_WH_F,G01_WH_M,G02_AM_F,G02_AM_M,G02_AS_F,G02_AS_M,G02_BL_F,G02_BL_M,G02_HI_F,G02_HI_M,G02_HP_F,G02_HP_M,G02_TR_F,G02_TR_M,G02_WH_F,G02_WH_M,G03_AM_F,G03_AM_M,G03_AS_F,G03_AS_M,G03_BL_F,G03_BL_M,G03_HI_F,G03_HI_M,G03_HP_F,G03_HP_M,G03_TR_F,G03_TR_M,G03_WH_F,G03_WH_M,G04_AM_F,G04_AM_M,G04_AS_F,G04_AS_M,G04_BL_F,G04_BL_M,G04_HI_F,G04_HI_M,G04_HP_F,G04_HP_M,G04_TR_F,G04_TR_M,G04_WH_F,G04_WH_M,G05_AM_F,G05_AM_M,G05_AS_F,G05_AS_M,G05_BL_F,G05_BL_M,G05_HI_F,G05_HI_M,G05_HP_F,G05_HP_M,G05_TR_F,G05_TR_M,G05_WH_F,G05_WH_M,G06_AM_F,G06_AM_M,G06_AS_F,G06_AS_M,G06_BL_F,G06_BL_M,G06_HI_F,G06_HI_M,G06_HP_F,G06_HP_M,G06_TR_F,G06_TR_M,G06_WH_F,G06_WH_M,G07_AM_F,G07_AM_M,G07_AS_F,G07_AS_M,G07_BL_F,G07_BL_M,G07_HI_F,G07_HI_M,G07_HP_F,G07_HP_M,G07_TR_F,G07_TR_M,G07_WH_F,G07_WH_M,G08_AM_F,G08_AM_M,G08_AS_F,G08_AS_M,G08_BL_F,G08_BL_M,G08_HI_F,G08_HI_M,G08_HP_F,G08_HP_M,G08_TR_F,G08_TR_M,G08_WH_F,G08_WH_M,G09_AM_F,G09_AM_M,G09_AS_F,G09_AS_M,G09_BL_F,G09_BL_M,G09_HI_F,G09_HI_M,G09_HP_F,G09_HP_M,G09_TR_F,G09_TR_M,G09_WH_F,G09_WH_M,G10_AM_F,G10_AM_M,G10_AS_F,G10_AS_M,G10_BL_F,G10_BL_M,G10_HI_F,G10_HI_M,G10_HP_F,G10_HP_M,G10_TR_F,G10_TR_M,G10_WH_F,G10_WH_M,G11_AM_F,G11_AM_M,G11_AS_F,G11_AS_M,G11_BL_F,G11_BL_M,G11_HI_F,G11_HI_M,G11_HP_F,G11_HP_M,G11_TR_F,G11_TR_M,G11_WH_F,G11_WH_M,G12_AM_F,G12_AM_M,G12_AS_F,G12_AS_M,G12_BL_F,G12_BL_M,G12_HI_F,G12_HI_M,G12_HP_F,G12_HP_M,G12_TR_F,G12_TR_M,G12_WH_F,G12_WH_M,KG_AM_F,KG_AM_M,KG_AS_F,KG_AS_M,KG_BL_F,KG_BL_M,KG_HI_F,KG_HI_M,KG_HP_F,KG_HP_M,KG_TR_F,KG_TR_M,KG_WH_F,KG_WH_M,PK_AM_F,PK_AM_M,PK_AS_F,PK_AS_M,PK_BL_F,PK_BL_M,PK_HI_F,PK_HI_M,PK_HP_F,PK_HP_M,PK_TR_F,PK_TR_M,PK_WH_F,PK_WH_M
count,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1632.0,1542.0,1020.0,1071.0,407.0,408.0,408.0,408.0,408.0,408.0,407.0,408.0,364.0,363.0,371.0,371.0,408.0,408.0,406.0,407.0,408.0,408.0,408.0,408.0,408.0,408.0,364.0,364.0,371.0,371.0,408.0,408.0,407.0,406.0,408.0,408.0,408.0,408.0,408.0,408.0,363.0,366.0,371.0,371.0,408.0,408.0,407.0,407.0,408.0,408.0,408.0,408.0,408.0,408.0,364.0,364.0,371.0,371.0,408.0,408.0,407.0,407.0,408.0,408.0,408.0,408.0,408.0,408.0,363.0,366.0,371.0,371.0,408.0,408.0,408.0,407.0,408.0,408.0,408.0,408.0,408.0,408.0,364.0,366.0,371.0,371.0,408.0,408.0,408.0,407.0,408.0,408.0,408.0,408.0,408.0,408.0,365.0,363.0,371.0,371.0,408.0,408.0,407.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,365.0,366.0,371.0,371.0,408.0,408.0,408.0,407.0,408.0,408.0,408.0,408.0,408.0,408.0,363.0,364.0,371.0,371.0,408.0,408.0,408.0,407.0,408.0,408.0,408.0,408.0,408.0,408.0,363.0,364.0,371.0,371.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,407.0,408.0,363.0,361.0,371.0,371.0,408.0,408.0,406.0,405.0,408.0,408.0,408.0,408.0,408.0,408.0,363.0,363.0,371.0,371.0,408.0,408.0,408.0,407.0,408.0,408.0,408.0,408.0,407.0,408.0,366.0,365.0,371.0,371.0,408.0,408.0,383.0,394.0,394.0,392.0,394.0,394.0,394.0,394.0,328.0,331.0,358.0,358.0,394.0,394.0
mean,2001.5,913969.4944852941,71699.14522058824,69945.06678921569,69739.51348039215,69166.50796568628,68739.36151960785,68720.13112745098,69049.01041666667,68106.53737745098,74842.33762254902,68258.6868872549,62436.83517156863,58420.870710784315,68810.96200980392,17840.95849546044,577954.7176470588,282069.08496732026,383.15970515970514,404.55392156862746,1735.512254901961,1807.7745098039215,5589.889705882353,5912.196078431372,9503.850122850123,9980.968137254902,133.99175824175825,141.68044077134985,1350.6253369272238,1408.865229110512,17421.801470588234,18652.83088235294,380.2536945812808,396.2751842751843,1760.0,1821.325980392157,5572.9142156862745,5836.958333333333,9346.071078431372,9780.20588235294,132.71703296703296,140.9065934065934,1286.4043126684637,1330.0566037735848,17460.58088235294,18598.05637254902,381.012285012285,397.91871921182263,1778.8039215686274,1831.1617647058824,5616.970588235294,5879.906862745098,9242.85294117647,9664.541666666666,134.54269972451792,141.33333333333334,1224.55525606469,1266.44204851752,17624.70588235294,18755.269607843136,380.5773955773956,394.99262899262897,1785.796568627451,1831.3210784313726,5546.068627450981,5769.541666666667,9023.497549019608,9405.879901960785,133.4532967032967,141.1813186813187,1154.5687331536387,1189.4258760107816,17721.595588235294,18841.325980392157,381.7960687960688,396.3734643734644,1777.671568627451,1819.8529411764705,5511.431372549019,5722.436274509804,8841.539215686274,9214.325980392157,133.09641873278238,139.9016393442623,1093.0188679245282,1123.8140161725066,17836.906862745098,18959.674019607843,384.28921568627453,400.2432432432432,1757.3382352941176,1801.5539215686274,5548.041666666667,5797.100490196079,8640.323529411764,9035.024509803921,131.7445054945055,139.3415300546448,1041.6091644204853,1067.7681940700809,17962.894607843136,19111.164215686276,389.1593137254902,405.61670761670763,1743.3357843137255,1795.0514705882354,5582.703431372549,5829.884803921569,8515.720588235294,8910.737745098038,129.06301369863013,138.49035812672176,997.7601078167116,1019.1940700808625,18171.835784313724,19330.19362745098,388.36855036855036,402.21078431372547,1736.5857843137255,1794.6642156862745,5603.740196078431,5809.35294117647,8386.286764705883,8762.441176470587,125.94246575342466,133.3879781420765,951.5633423180593,963.256064690027,18322.642156862745,19465.03431372549,419.8651960784314,451.3046683046683,1792.6985294117646,1884.360294117647,6322.529411764706,6887.171568627451,8972.91911764706,9709.514705882353,136.17079889807164,146.65934065934067,1007.4959568733153,1020.6010781671159,19280.867647058825,20634.754901960783,394.4779411764706,414.2039312039312,1791.6519607843138,1877.3088235294117,5873.828431372549,6056.992647058823,8301.492647058823,8732.91911764706,128.77134986225894,135.72252747252747,921.5013477088949,911.5849056603773,18985.620098039217,19998.66176470588,367.3651960784314,377.80882352941177,1758.9338235294117,1828.4828431372548,5401.732843137255,5316.698529411765,7630.17199017199,7820.696078431372,121.7107438016529,127.45983379501385,832.1859838274933,810.8598382749326,18431.686274509804,19206.754901960783,365.75615763546796,377.39506172839504,1730.4926470588234,1814.6151960784314,5232.004901960784,5059.566176470588,7304.183823529412,7437.161764705882,116.36088154269973,120.5564738292011,769.3692722371968,747.7412398921833,18325.48774509804,19140.404411764706,375.04411764705884,402.2113022113022,1665.4901960784314,1756.8357843137255,5406.223039215686,5723.235294117647,9515.589680589681,9997.531862745098,131.73224043715848,141.72602739726028,1406.2803234501348,1485.921832884097,17071.352941176472,18538.950980392157,158.44125326370758,181.7994923857868,366.98477157360406,438.7780612244898,2359.6370558375634,2592.3426395939086,3318.8248730964465,3729.5862944162436,24.914634146341463,33.181268882175225,365.24022346368713,436.4050279329609,4890.365482233503,6199.799492385787
std,9.235922723090733,1055892.9466687678,82863.25525925087,81281.615298918,80831.04744786579,79957.9903560411,79424.73715536667,79024.85715952123,79019.15206963629,77965.8472632487,87123.99289097867,79253.2252096288,72597.31473191618,67438.53070894496,80671.03300759419,30016.603510164186,675783.6634287661,330709.78755460563,638.6462217839605,680.90226095763,3570.330224418655,3810.6769276360783,6486.03078065157,6872.203760911296,22197.835811158628,23436.288310239164,332.0878065010098,358.48037515010634,1625.9366223161153,1718.0186287740726,13853.958518638812,14866.832202851478,626.4354515720804,654.943575164054,3641.2096135256274,3866.2173526964857,6483.5720763922145,6791.690318075317,21968.499410882458,23047.74976628312,338.7448793159799,370.0660830874994,1547.2158983443321,1619.5724075427563,13943.879606300912,14882.477043081446,630.8375325387228,659.5887351599938,3714.853357152108,3927.693975967817,6583.013510447909,6914.113888705986,21855.27482257906,22881.897125611235,353.5131343459848,385.1316989950013,1481.5109923949817,1555.119077307433,14148.780284874238,15085.087584459645,629.8121451726644,656.146702361161,3775.633039690946,3990.51734804012,6459.318846129727,6710.939626936924,21602.52475621185,22535.38228410383,357.7773220005177,389.69411622842046,1408.2217682742175,1467.9440952529771,14284.276389140488,15196.62374516781,638.0845143648232,662.0052446353186,3800.1504877709303,4008.436532836715,6430.117830353657,6661.057090175901,21372.964205789223,22273.281007728736,365.08586602712313,393.9800720188651,1341.1092654236647,1394.7523524898565,14463.013478720575,15371.29606399823,640.5878708855431,667.9722917598556,3801.9928284552793,4023.684394942953,6469.265162689528,6760.15443481182,21021.646257352753,21943.628406793112,365.2464326742939,394.38009726638626,1290.06212120364,1334.5452024836534,14606.495021292652,15552.674271411426,647.2937741744714,673.9198769203542,3796.6826199270185,4041.391588949436,6516.570869301732,6790.845525580686,20866.50343086586,21795.47545392733,356.5929342312322,387.15290538022117,1243.0688024810252,1284.2510931835407,14839.28854927495,15798.955738957298,642.5227310338398,666.3254361874832,3840.2274352300715,4099.411439447269,6549.929761324317,6779.667887246931,20712.103638899698,21596.672153360236,341.123740043662,364.0029162426603,1185.053037085951,1213.639828884031,15042.53355631988,15993.951820582506,671.0250539740637,716.4749818098563,3948.7934436654105,4260.237203151646,7450.567868080418,8146.663618198803,22197.916191371256,23840.824780531388,375.58058706086547,417.204033951698,1317.2270759357339,1339.6416977196197,15975.281855134514,17064.048849519757,639.8956184102339,665.9459512856645,4009.689218988279,4330.303471468016,6874.625485263141,7063.643180767541,20747.572400428016,21716.81186485011,342.727603215194,365.9614717835171,1224.2703383994344,1227.8167176316952,15862.33051652614,16665.15151212766,602.8531478736674,616.5019355853075,4017.9648959020064,4315.202801535304,6266.449060881988,6123.75242590334,19620.188961792774,20195.8967562589,318.55908594457486,337.03975889594835,1123.2153197431553,1118.5498342286528,15389.015159903904,16074.703904135436,596.6230624654846,610.805613108832,4060.862813627246,4385.291417587216,6015.943329394157,5760.808857564935,19235.995721398052,19773.964741307584,299.6602483352938,309.8505146278703,1062.092565327299,1072.111812390689,15407.645934186854,16181.475168679,615.5451174858302,663.6780108150587,3564.5240344317,3834.761832824862,6262.878950503282,6630.30017801933,22752.959986320573,23965.990976649387,323.1424121333352,355.23210413717464,1838.5732797444232,1969.6223706747892,13674.5442979717,14915.685416608338,430.7212216207209,463.377129641236,656.2905199580772,729.1057720468526,3261.0814372230843,3498.712670104281,10728.985872139578,11349.076720870224,32.683713165547154,49.9580770873324,423.46059758290625,470.8658341950328,4512.146685151319,5434.635862658545
min,1986.0,68449.0,5022.0,4825.0,4737.0,4577.0,4513.0,4175.0,3766.0,3371.0,4012.0,3584.0,3119.0,2572.0,5122.0,96.0,37698.0,13530.0,1.0,1.0,24.0,22.0,29.0,33.0,32.0,2.0,1.0,1.0,21.0,45.0,231.0,290.0,1.0,1.0,20.0,17.0,27.0,37.0,6.0,4.0,1.0,1.0,23.0,31.0,220.0,253.0,1.0,1.0,20.0,16.0,29.0,30.0,6.0,2.0,1.0,1.0,25.0,21.0,204.0,209.0,1.0,1.0,21.0,17.0,22.0,37.0,4.0,4.0,1.0,1.0,14.0,21.0,174.0,181.0,1.0,1.0,20.0,18.0,20.0,39.0,4.0,5.0,1.0,1.0,21.0,18.0,131.0,165.0,1.0,1.0,16.0,20.0,25.0,35.0,7.0,7.0,1.0,1.0,17.0,15.0,99.0,137.0,1.0,1.0,22.0,21.0,22.0,32.0,3.0,7.0,1.0,1.0,8.0,12.0,98.0,92.0,1.0,1.0,23.0,20.0,23.0,31.0,3.0,5.0,1.0,1.0,13.0,15.0,85.0,78.0,1.0,1.0,26.0,22.0,26.0,38.0,3.0,5.0,1.0,1.0,12.0,15.0,78.0,72.0,1.0,1.0,24.0,24.0,30.0,30.0,4.0,5.0,1.0,1.0,14.0,12.0,74.0,68.0,1.0,1.0,20.0,17.0,27.0,28.0,39.0,1.0,1.0,1.0,17.0,13.0,70.0,59.0,1.0,1.0,16.0,16.0,27.0,31.0,1.0,4.0,1.0,1.0,9.0,8.0,59.0,61.0,1.0,1.0,20.0,22.0,23.0,32.0,37.0,1.0,1.0,1.0,38.0,38.0,297.0,325.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,61.0,148.0
25%,1993.75,248083.25,19312.5,18993.0,18864.0,18971.5,19172.5,19469.5,19716.0,19594.25,20055.25,19394.0,17931.5,16076.5,19029.75,2199.75,164925.0,80608.0,72.0,70.0,206.75,205.5,409.0,442.25,1073.5,1130.0,15.0,15.0,265.5,277.5,5921.75,6422.75,68.25,72.5,208.5,198.75,420.25,451.25,1000.5,1062.25,14.0,13.0,257.5,268.5,5917.25,6381.75,66.5,72.0,209.5,198.5,412.25,453.0,945.25,1013.25,13.5,13.0,251.0,259.5,5913.5,6352.75,68.5,70.0,208.25,199.75,415.0,451.25,844.75,909.25,13.0,12.75,232.5,232.5,5982.75,6347.25,68.0,71.0,206.0,197.0,421.5,455.0,793.75,800.0,12.0,10.25,213.5,216.0,5990.25,6374.25,69.0,72.0,195.5,188.75,425.75,458.0,699.5,798.25,11.0,11.0,201.5,197.0,6054.75,6535.0,70.0,72.5,189.0,189.75,443.25,449.25,657.75,693.5,10.0,11.0,171.5,176.0,6187.75,6625.75,70.5,71.75,191.75,189.5,452.0,455.0,635.5,663.75,10.0,11.0,165.5,171.5,6240.25,6706.5,77.75,82.0,192.25,204.25,492.5,546.25,706.0,805.5,12.5,12.0,171.5,178.0,6584.0,7074.75,73.0,77.5,190.0,202.5,480.75,521.25,569.75,593.0,11.0,13.0,146.0,148.0,6566.75,6913.25,67.75,68.75,190.25,193.25,447.75,480.0,498.0,490.25,12.0,12.0,129.0,123.5,6476.75,6703.75,67.0,67.0,171.75,180.75,442.0,457.5,441.25,438.5,10.0,11.0,113.0,111.5,6258.0,6600.75,71.0,72.0,186.5,188.5,386.25,424.0,1150.5,1169.25,16.0,16.0,281.5,299.0,5616.75,6176.5,18.5,22.0,42.0,57.75,90.25,112.25,125.75,215.5,5.0,6.5,63.0,79.25,910.0,1367.0
50%,2001.5,645805.0,52447.0,50080.0,49751.5,49087.0,48531.0,48672.0,48972.0,47880.0,51223.5,46415.0,42499.0,39408.0,48122.0,8258.0,405111.5,186919.0,149.0,158.5,671.5,658.5,2458.5,2645.5,3376.0,3556.0,37.0,40.0,918.0,946.0,13627.0,14532.5,154.5,155.0,685.5,657.5,2452.0,2587.5,3237.0,3393.0,35.5,37.0,836.0,867.0,13609.5,14501.0,150.0,157.0,688.5,657.5,2488.0,2609.5,3136.0,3266.0,34.0,36.0,765.0,788.0,13686.0,14528.0,152.0,158.0,684.5,647.0,2458.0,2599.5,2992.5,3162.0,36.0,36.0,685.0,691.0,13774.5,14525.5,153.0,160.0,653.0,635.0,2498.5,2616.0,2833.0,3012.5,35.0,35.0,651.0,657.0,13718.0,14507.5,155.5,161.0,631.5,605.0,2516.0,2619.0,2724.0,2904.0,35.0,34.5,581.0,593.0,13830.0,14681.0,157.0,157.0,608.5,596.5,2528.5,2643.5,2633.0,2723.5,33.0,35.0,554.0,564.0,13989.5,14867.5,158.0,160.0,584.5,573.5,2538.5,2687.5,2504.0,2626.0,33.0,35.0,526.0,540.0,14106.0,14922.0,170.5,181.0,619.0,615.0,2781.5,3050.0,2626.5,2934.0,35.0,39.0,549.0,567.0,14793.5,15755.5,161.0,167.0,613.0,599.0,2645.0,2861.5,2351.5,2490.5,34.0,37.0,509.0,501.0,14497.5,15435.0,150.5,153.5,573.0,555.0,2471.5,2504.0,2094.0,2163.5,33.0,35.0,448.0,454.0,14105.0,14886.5,147.0,150.0,518.5,561.0,2370.0,2575.5,1943.5,2055.5,32.0,32.0,400.0,393.0,14262.5,14981.0,147.0,159.0,635.0,633.0,2410.5,2605.5,3447.0,3680.0,37.0,42.0,948.0,1004.0,13425.5,14707.5,48.0,55.0,153.0,195.5,1113.0,1271.0,1048.0,1246.5,13.0,18.0,239.5,280.0,3768.5,5147.5
75%,2009.25,1043420.5,81087.0,78909.0,78722.25,78504.25,78597.75,78897.75,79379.75,78976.0,83187.5,78401.25,71916.25,69397.25,78864.25,22691.75,643975.25,322328.0,398.0,415.5,1974.5,2085.0,9881.5,10494.75,7463.5,7754.5,105.5,102.5,1792.0,1955.0,23882.75,25684.25,393.75,424.0,2018.5,2083.5,9853.0,10308.75,7366.75,7762.75,99.0,99.25,1722.0,1763.5,23897.75,25389.5,404.0,425.0,2033.25,2051.25,9801.75,10311.25,7312.25,7664.0,92.5,93.25,1639.5,1638.5,23946.5,25406.5,409.5,425.0,2016.25,2062.5,9731.25,10201.25,7050.0,7247.75,84.5,89.0,1523.0,1547.0,24066.25,25444.0,421.0,429.0,1973.0,1993.75,9683.25,10135.75,6803.5,7123.75,85.5,85.25,1430.5,1443.5,24096.75,25541.5,431.25,429.5,1934.75,1950.0,9715.0,10256.25,6531.25,7023.5,82.25,83.5,1347.5,1361.0,24472.0,25911.75,440.5,440.0,1901.0,1919.25,9789.25,10374.5,6387.25,6825.75,84.0,90.0,1278.0,1270.0,24628.25,26156.75,431.5,457.0,1886.25,1909.5,9843.0,10183.5,6234.0,6617.0,83.0,84.25,1210.5,1207.0,24597.5,26211.5,466.5,532.0,1939.0,1977.25,11090.75,12361.0,6694.5,7433.75,87.0,90.0,1262.5,1297.5,25857.75,27745.5,445.25,476.5,1929.5,1992.5,10309.25,10349.0,6078.5,6536.25,85.0,84.75,1190.0,1163.0,25391.25,26972.25,396.0,420.5,1878.5,1943.5,9258.5,8727.25,5319.0,5406.75,79.0,77.0,1064.5,1014.5,25009.5,25941.75,398.75,430.0,1854.0,1913.25,8982.75,8309.0,4828.0,4973.0,72.0,74.0,1014.5,972.5,25349.5,26741.25,372.25,413.0,1897.75,2011.0,9479.0,10007.0,7204.0,7479.5,103.25,111.0,1846.5,1995.0,23142.5,25305.5,116.0,153.75,378.25,460.5,3560.25,3824.5,2274.25,2768.25,29.0,36.0,500.5,621.5,7471.0,9822.0
max,2017.0,6441557.0,491159.0,491610.0,493128.0,493415.0,492895.0,495238.0,500404.0,500143.0,549463.0,517813.0,489207.0,498403.0,535379.0,256222.0,3929869.0,2013687.0,4613.0,5113.0,24686.0,26022.0,24886.0,26295.0,132494.0,139162.0,2678.0,2919.0,11304.0,12151.0,57149.0,61768.0,4556.0,4740.0,25271.0,26601.0,25061.0,26260.0,131477.0,137318.0,2629.0,2852.0,10703.0,11336.0,57550.0,61312.0,4608.0,4841.0,25595.0,26996.0,25779.0,27663.0,131119.0,137107.0,2609.0,2846.0,10310.0,11000.0,57312.0,61028.0,4679.0,4889.0,26061.0,27508.0,25217.0,26506.0,131175.0,137193.0,2556.0,2817.0,10001.0,10450.0,58156.0,62264.0,4695.0,4848.0,26791.0,28053.0,24708.0,25663.0,131767.0,137686.0,2522.0,2764.0,9656.0,10294.0,58984.0,63249.0,4563.0,4881.0,27014.0,28457.0,24210.0,25447.0,127687.0,132781.0,2408.0,2664.0,9092.0,9245.0,60371.0,64394.0,4624.0,4556.0,27487.0,28922.0,24292.0,25303.0,124801.0,129944.0,2354.0,2574.0,8594.0,9032.0,60900.0,65165.0,4370.0,4534.0,27502.0,29279.0,24547.0,25343.0,123397.0,129186.0,2193.0,2358.0,7938.0,8240.0,63115.0,67693.0,4681.0,4912.0,27975.0,30084.0,28464.0,31464.0,128727.0,136083.0,2448.0,2811.0,8557.0,8582.0,69302.0,74021.0,4274.0,4465.0,28572.0,30700.0,25366.0,25629.0,126998.0,133203.0,2156.0,2378.0,8274.0,8255.0,69623.0,74007.0,3952.0,4103.0,29034.0,31079.0,23446.0,23228.0,123560.0,128898.0,1887.0,2035.0,7736.0,7850.0,69783.0,74296.0,3784.0,3832.0,28849.0,31059.0,22681.0,22843.0,125535.0,131484.0,1645.0,1670.0,7612.0,7733.0,71336.0,76674.0,4430.0,4844.0,26825.0,28762.0,24321.0,26027.0,144222.0,152097.0,2834.0,3230.0,14184.0,15143.0,58408.0,63586.0,3554.0,3842.0,4280.0,4957.0,17716.0,18774.0,77374.0,82381.0,161.0,358.0,2366.0,2605.0,19647.0,23950.0

